Date,DayNum,StID,StName,Timestamp(ms),Trip,VehId,ac_power_kw,ac_power_w,accel,distance,elev_delta,elevation_m,heater_w,hv_current_a,hv_soc_percent,hv_voltage_v,lat,lon,motion_idx,prcp,soc_delta,speed,tmax,tmin
2018-08-24,295.527055593,USW00094847,Detroit,848800,2949,10,,250.0,0.04883614095339845,2.420811035812352,5.0,266,0.0,-29.857142857142858,99.26829528809999,384.5,42.2911644444,-83.71185222220001,1282,0.0,0.0,62.930000305200004,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,852200,2949,10,,250.0,0.055444245628422054,2.4541456928417302,-7.0,271,0.0,19.125,99.26829528809999,386.75,42.2915438889,-83.7120194444,1289,0.0,0.0,60.5499992371,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,855100,2949,10,,250.0,0.04358235845084162,2.6350611426634445,4.0,264,0.0,22.75,99.26829528809999,392.0,42.2919275,-83.7123125,1297,0.0,0.0,51.2099990845,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,858200,2949,10,,250.0,0.057775315341675626,2.4358034726443054,0.0,268,0.0,-30.357142857142858,99.26829528809999,389.42857142857144,42.2923408333,-83.71243777779999,1303,0.0,0.0,52.8899993896,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,861400,2949,10,,250.0,0.058540308677688724,2.286572626724232,4.0,268,0.0,2.0714285714285716,99.26829528809999,386.0,42.2927230556,-83.7123625,1310,0.0,0.0,42.75,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,864400,2949,10,,250.0,0.0621494327645628,1.5343584767047158,0.0,272,0.0,32.0,99.26829528809999,390.5833333333333,42.2930819444,-83.7123352778,1317,0.0,0.0,22.969999313400002,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,867800,2949,10,,250.0,0.08701611223793283,0.635565936287985,0.0,272,0.0,20.38888888888889,98.7804870605,391.0,42.2933227778,-83.7123283333,1323,0.0,-0.4878082275999986,0.0,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,872500,2949,10,,250.0,0.298321653956112,0.4565943015574913,0.0,272,0.0,-24.166666666666668,98.6585388184,389.1666666666667,42.2934225,-83.7123513889,1332,0.0,-0.12194824209998956,16.2299995422,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,874600,2949,10,,250.0,0.08864503164810772,0.570444675227927,0.0,272,0.0,-25.0,98.6585388184,389.0,42.2934941667,-83.7123483333,1338,0.0,0.0,16.5599994659,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,877600,2949,10,,250.0,0.09004125031156542,0.058597018435416426,0.0,272,0.0,-2.75,98.6585388184,389.1666666666667,42.293583611100004,-83.7123136111,1342,0.0,0.0,0.0,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,882800,2949,10,,250.0,0.4229063193205862,0.6533656230773209,0.0,272,0.0,-19.8125,98.6585388184,389.375,42.2935927778,-83.7123072222,1348,0.0,0.0,16.0699996948,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,886700,2949,10,,250.0,0.23010093622090436,0.4533243616562155,2.0,272,0.0,-6.3,98.6585388184,389.5,42.293695277800005,-83.7122791667,1356,0.0,0.0,0.0,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,890700,2949,10,,250.0,0.22211859121746882,0.7885150886591957,0.0,274,0.0,-32.0,98.53659057620001,388.75,42.293766388899996,-83.7123002778,1366,0.0,-0.12194824219999136,20.3500003815,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,893900,2949,10,,250.0,0.12380973237393124,0.3445587287834385,2.0,274,0.0,-75.375,98.53659057620001,386.625,42.29389000000001,-83.7122475,1372,0.0,0.0,37.5200004578,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,897000,2949,10,,250.0,0.071988506718974,0.3386795715439524,0.0,276,0.0,-62.0,98.53659057620001,383.5,42.293931666700004,-83.7119536111,1380,0.0,0.0,45.4399986267,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,900100,2949,10,,250.0,0.07526082847417301,0.3709205465762262,-2.0,276,0.0,-34.25,98.53659057620001,385.0625,42.2939161111,-83.71152027779999,1387,0.0,0.0,48.409999847399995,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,903200,2949,10,,250.0,0.06137089575188181,0.3728336041777332,0.0,274,0.0,-13.928571428571429,98.53659057620001,386.0,42.2939030556,-83.7110366667,1395,0.0,0.0,45.97999954220001,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,906400,2949,10,,250.0,0.0781470547261646,0.33609300203985976,0.0,274,0.0,10.6875,98.53659057620001,389.0625,42.2938944444,-83.7105433333,1402,0.0,0.0,41.3499984741,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,909500,2949,10,,250.0,0.08249382741955594,0.34950653884053795,0.0,274,0.0,-20.75,98.53659057620001,388.375,42.2938802778,-83.7101102778,1410,0.0,0.0,44.5299987793,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,912400,2949,10,,250.0,0.05687457160191607,0.7648077197034361,-1.0,274,0.0,-20.166666666666668,98.53659057620001,386.5,42.2939011111,-83.7096777778,1418,0.0,0.0,40.4799995422,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,914700,2949,10,,250.0,0.06621708691591524,1.0075787246437342,0.0,273,0.0,19.083333333333332,98.53659057620001,388.75,42.2940116667,-83.7092788889,1424,0.0,0.0,32.340000152600005,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,917800,2949,10,,250.0,0.10398575446070504,0.8088709383291272,0.0,273,0.0,17.428571428571427,98.53659057620001,391.0,42.2941675,-83.7090486111,1430,0.0,0.0,23.590000152600002,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,920900,2949,10,,250.0,0.10456378061577555,0.8704970572814876,-2.0,273,0.0,-7.083333333333333,98.53659057620001,390.0,42.2942925,-83.7088586111,1437,0.0,0.0,24.6000003815,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,924000,2949,10,,250.0,0.12158423835710755,0.9101013699394752,0.0,271,0.0,-2.5,98.53659057620001,389.5,42.29442750000001,-83.7086783333,1443,0.0,0.0,24.1399993896,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,927200,2949,10,,250.0,0.10278954786216211,0.9446288453781236,-2.0,271,0.0,-2.0833333333333335,98.53659057620001,389.5,42.2945691667,-83.7085211111,1450,0.0,0.0,23.92000007630001,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,930300,2949,10,,250.0,0.15313178888893128,0.9381512163186444,0.0,269,0.0,1.1875,98.53659057620001,390.125,42.2947166667,-83.7083916667,1456,0.0,0.0,23.4499988556,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,933400,2949,10,,250.0,0.12607352624710122,0.949128816406312,0.0,269,0.0,-8.357142857142858,98.53659057620001,390.5,42.2948633333,-83.7082788889,1464,0.0,0.0,25.329999923699997,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,936400,2949,10,,250.0,0.11934065886044576,0.8358563772610783,0.0,269,0.0,-2.9285714285714284,98.53659057620001,389.64285714285717,42.2950116667,-83.70815999999998,1471,0.0,0.0,20.7999992371,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,939500,2949,10,,250.0,0.14618455922275966,0.7622872269210457,-2.0,269,0.0,3.9285714285714284,98.53659057620001,389.64285714285717,42.2951416667,-83.70800777779999,1478,0.0,0.0,19.1800003052,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,957200,2949,10,,300.0,0.16737959731558502,0.816666296180968,0.0,267,0.0,1.9166666666666667,98.1707305908,390.30555555555554,42.295260277800004,-83.70787222220001,1485,0.0,-0.3658599854000073,0.0,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,960800,2949,10,,250.0,0.4804786628670099,0.37948836236381467,-1.0,267,0.0,-9.0,98.1707305908,390.07142857142856,42.2953877778,-83.70775805560001,1503,0.0,0.0,10.4200000763,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,964800,2949,10,,250.0,0.27306069829891355,0.29390450044599925,0.0,266,0.0,-2.111111111111111,98.1707305908,390.27777777777777,42.2954463889,-83.70766638890001,1510,0.0,0.0,0.0,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,968800,2949,10,,250.0,0.34932825056718775,0.3491095364556104,0.0,266,0.0,-12.714285714285714,98.1707305908,389.7857142857143,42.2954919444,-83.7076036111,1519,0.0,0.0,14.969999313399999,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,974900,2949,10,,250.0,0.09927134459772659,0.08845935638266242,0.0,266,0.0,-2.125,98.1707305908,390.0,42.2955458333,-83.70751777779999,1526,0.0,0.0,0.0,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,977900,2949,10,,250.0,0.21058993624760589,0.27492978697605475,0.0,266,0.0,-26.583333333333332,98.1707305908,389.6666666666667,42.2955580556,-83.7074608333,1534,0.0,0.0,21.5,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,980800,2949,10,,250.0,0.08953744115402565,0.5183818615599358,-1.0,266,0.0,-50.0,98.1707305908,389.0,42.2955980556,-83.7073208333,1540,0.0,0.0,36.7099990845,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,984100,2949,10,,250.0,0.06774532458670543,0.3448722657748777,0.0,265,0.0,4.833333333333333,98.1707305908,386.5,42.2956708333,-83.7070061111,1546,0.0,0.0,33.6699981689,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,987200,2949,10,,250.0,0.07776800093388443,0.8327407448237029,0.0,265,0.0,15.75,98.1707305908,390.1666666666667,42.2957094444,-83.7066777778,1552,0.0,0.0,31.099998474099998,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,990400,2949,10,,250.0,0.10824441166953047,1.0105588040749256,0.0,265,0.0,18.5,98.1707305908,392.0,42.2958380556,-83.7064758333,1558,0.0,0.0,13.710000038099999,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,993500,2949,10,,250.0,0.15082866681481946,0.6055076033443703,0.0,265,0.0,-18.357142857142858,98.1707305908,391.57142857142856,42.2959966667,-83.7064625,1565,0.0,0.0,31.760000228899997,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,996500,2949,10,,250.0,0.07989413379759969,0.8872086486504563,0.0,265,0.0,-87.64285714285714,98.1707305908,389.35714285714283,42.2960908333,-83.7065741667,1572,0.0,0.0,43.909999847399995,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,998700,2949,10,,250.0,0.034642269899839526,1.0092326811892054,1.0,265,0.0,-21.375,98.1707305908,384.0,42.2962241667,-83.7069233333,1579,0.0,0.0,41.5400009155,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1001800,2949,10,,250.0,0.06823110934369411,0.9692020622435156,0.0,266,0.0,19.083333333333332,98.1707305908,387.75,42.29637750000001,-83.7072694444,1583,0.0,0.0,29.729999542199998,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1004900,2949,10,,250.0,0.08276657561799768,1.1753832548251721,0.0,266,0.0,-22.583333333333332,98.1707305908,391.5,42.2965269444,-83.7075172222,1589,0.0,0.0,33.8499984741,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1008000,2949,10,,250.0,0.07017381488562212,1.5266171177217451,0.0,266,0.0,-31.166666666666668,98.1707305908,386.9166666666667,42.29671,-83.7077175,1595,0.0,0.0,33.5400009155,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1011200,2949,10,,250.0,0.10984329105453537,1.4424720898023595,2.0,266,0.0,4.0,98.1707305908,387.3125,42.2969486111,-83.7079094444,1601,0.0,0.0,30.7999992371,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1014300,2949,10,,250.0,0.07544633680509644,0.9149481199726528,0.0,268,0.0,10.0,98.1707305908,389.5,42.2971747222,-83.7080116667,1609,0.0,0.0,10.3499994278,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1017400,2949,10,,250.0,0.2927274672553129,0.4965062988915381,0.0,268,0.0,-7.1875,98.1707305908,390.125,42.2973183333,-83.7080141667,1615,0.0,0.0,19.7099990845,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1020400,2949,10,,250.0,0.07473880976179116,0.23045160785676386,-2.0,268,0.0,-53.3,98.1707305908,390.5,42.2973961111,-83.7079711111,1623,0.0,0.0,38.1199989319,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1022600,2949,10,,250.0,0.06259452791521815,0.3337479249069579,0.0,266,0.0,-73.58333333333333,98.1707305908,384.6666666666667,42.2974144444,-83.7076972222,1628,0.0,0.0,43.1299972534,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1026000,2949,10,,250.0,0.0606708294692191,0.2898470088352747,1.0,266,0.0,13.0,98.1707305908,384.8333333333333,42.2973933333,-83.7072761111,1634,0.0,0.0,38.0200004578,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1028800,2949,10,,250.0,0.06920403269257515,0.2097807009791492,0.0,267,0.0,29.25,98.1707305908,391.5,42.2973825,-83.7068880556,1640,0.0,0.0,25.73999977110001,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1057700,2949,10,,250.0,0.1274577170390181,0.31940939426444176,0.0,267,0.0,7.5476190476190474,97.68292999270001,390.8809523809524,42.297385,-83.7065997222,1646,0.0,-0.4878005980999944,0.0,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1088900,2949,10,,250.0,0.0,0.16031230244378378,0.0,267,0.0,-1.9,97.68292999270001,390.5,42.297434722199995,-83.7065433333,1667,0.0,0.0,0.0,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1120200,2949,10,,250.0,0.0,0.05272728352462537,0.0,267,0.0,-1.8333333333333333,97.5609741211,390.6388888888889,42.2974108333,-83.7066127778,1687,0.0,-0.12195587160000798,0.0,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1141000,2949,10,,250.0,0.0,0.041755980237625424,0.0,267,0.0,-2.1,97.5609741211,391.0,42.2974094444,-83.7066844444,1705,0.0,0.0,0.0,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1144000,2949,10,,250.0,0.23945792410930813,0.1469422070402417,0.0,267,0.0,-27.0,97.5609741211,389.92857142857144,42.2974144444,-83.7066472222,1715,0.0,0.0,22.809999465900002,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1147100,2949,10,,250.0,0.10308642895193718,0.6038882877361336,-2.0,267,0.0,-57.642857142857146,97.5609741211,388.5,42.2974269444,-83.7064769444,1722,0.0,0.0,37.6299972534,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1150200,2949,10,,250.0,0.06080407145437472,0.8079377300154862,0.0,265,0.0,-66.25,97.5609741211,386.0,42.2975141667,-83.7061508333,1729,0.0,0.0,45.9199981689,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1153300,2949,10,,250.0,0.074608703616602,1.1745844824503502,1.0,265,0.0,-40.625,97.5609741211,386.3125,42.2976325,-83.7057497222,1735,0.0,0.0,48.59000015260001,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1156200,2949,10,,250.0,0.040435019664629215,1.919204999937581,5.0,266,0.0,-36.1,97.5609741211,386.5,42.2978111111,-83.7053472222,1743,0.0,0.0,51.11999893189999,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1159300,2949,10,,250.0,0.03852090702870026,2.3564720632649534,0.0,271,0.0,-33.4,97.5609741211,386.5,42.298109722199996,-83.7049966667,1748,0.0,0.0,55.47999954220001,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1162400,2949,10,,250.0,0.05455160263862784,2.372151151990915,0.0,271,0.0,-18.928571428571427,97.5609741211,387.07142857142856,42.2984788889,-83.7047941667,1753,0.0,0.0,50.159999847399995,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1164800,2949,10,,250.0,0.05101051653706159,2.1679169984168287,0.0,271,0.0,26.5,97.5609741211,388.5,42.2988511111,-83.7047125,1760,0.0,0.0,40.2099990845,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1167600,2949,10,,250.0,0.0697827645263093,1.2671286816087874,0.0,271,0.0,31.6,97.5609741211,390.3,42.2991913889,-83.70472027779999,1766,0.0,0.0,19.2299995422,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1170800,2949,10,,250.0,0.13588322253453092,0.4207873832525928,0.0,271,0.0,9.666666666666666,97.5609741211,393.0,42.2993902778,-83.7047141667,1771,0.0,0.0,5.46999979019,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1174200,2949,10,,250.0,0.23016887119966165,0.4990859535305848,0.0,271,0.0,-16.5,97.5609741211,390.0,42.2994561111,-83.7046666667,1777,0.0,0.0,17.6299991608,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1177200,2949,10,,250.0,0.1786651809828901,0.3946522614135857,-2.0,271,0.0,-9.5625,97.5609741211,389.0,42.2995344444,-83.70467361109999,1783,0.0,0.0,17.5100002289,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1204000,2949,10,,250.0,0.060574537449579836,0.4624840150240185,0.0,269,0.0,0.47368421052631576,97.0731735229,390.10526315789474,42.299594166700004,-83.7048208333,1791,0.0,-0.4878005981999962,0.0,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1237200,2949,10,,250.0,0.0,0.24625579748344706,0.0,269,0.0,-1.8461538461538463,97.0731735229,390.5,42.2996661111,-83.70490749999998,1810,0.0,0.0,0.0,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1258000,2949,10,,250.0,0.0,0.04460775010819839,0.0,269,0.0,-2.1666666666666665,97.0731735229,390.5,42.299628888899996,-83.7048141667,1823,0.0,0.0,0.0,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1261000,2949,10,,250.0,0.3963880779016075,0.3232488299714297,0.0,269,0.0,-10.785714285714286,96.9512252808,390.5,42.2996222222,-83.7048333333,1832,0.0,-0.12194824210000375,14.4099998474,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1264100,2949,10,,250.0,0.16784607465449541,1.0490704256464545,0.0,269,0.0,-24.5,96.9512252808,389.75,42.299672222199995,-83.70491055560001,1839,0.0,0.0,27.23999977110001,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1267200,2949,10,,250.0,0.08754190396423613,1.1947315576423179,0.0,269,0.0,-5.75,96.9512252808,388.5,42.2998366667,-83.7049866667,1847,0.0,0.0,26.779998779299998,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1270300,2949,10,,250.0,0.11962599493225536,0.8194260528842536,0.0,269,0.0,8.071428571428571,96.9512252808,389.92857142857144,42.3000241667,-83.705015,1853,0.0,0.0,19.1499996185,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1273400,2949,10,,250.0,0.18157743809276589,0.2263532579846113,0.0,269,0.0,-9.428571428571429,96.9512252808,391.0,42.3001525,-83.70493805560001,1860,0.0,0.0,17.1399993896,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1276400,2949,10,,250.0,0.10472724377901134,1.049501150944205,0.0,269,0.0,-58.666666666666664,96.9512252808,388.0833333333333,42.3001855556,-83.7048208333,1867,0.0,0.0,38.9599990845,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1279000,2949,10,,250.0,0.056955786513892284,1.8584443278418907,2.0,269,0.0,-102.83333333333333,96.9512252808,386.5833333333333,42.30035,-83.7047333333,1873,0.0,0.0,47.0999984741,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1281600,2949,10,,250.0,0.035080360690194594,1.6918730885241262,0.0,271,0.0,16.5,96.9512252808,382.0,42.3006416667,-83.7046913889,1879,0.0,0.0,29.359998703000002,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1301600,2949,10,,250.0,0.07595129430262838,0.2808018516832585,0.0,271,0.0,7.3076923076923075,96.707321167,386.7307692307692,42.300907222199996,-83.70468000000002,1883,0.0,-0.2439041137999993,0.0,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1305000,2949,10,,250.0,0.3331217332769206,0.506709906764401,0.0,271,0.0,-17.333333333333332,96.707321167,389.1666666666667,42.3009511111,-83.7046433333,1896,0.0,0.0,13.5499992371,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1308100,2949,10,,250.0,0.17383719603196177,0.4150839854267409,0.0,271,0.0,-36.0625,96.707321167,388.25,42.3010305556,-83.7046775,1902,0.0,0.0,27.2699985504,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1311100,2949,10,,250.0,0.08119726882781433,0.26666370922643523,0.0,271,0.0,-36.0,96.707321167,387.0,42.3010927778,-83.7048527778,1910,0.0,0.0,36.7000007629,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1314400,2949,10,,250.0,0.07905604464482505,0.2579690932431337,0.0,271,0.0,-11.357142857142858,96.707321167,388.07142857142856,42.301115,-83.7051747222,1916,0.0,0.0,37.3699989319,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1317500,2949,10,,250.0,0.06866234554294463,0.25634569167587085,0.0,271,0.0,2.1666666666666665,96.707321167,388.5,42.3011236111,-83.7055338889,1923,0.0,0.0,37.8600006104,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1320400,2949,10,,250.0,0.05214111043806325,0.26429299703105674,0.0,271,0.0,-12.9,96.707321167,388.5,42.3011258333,-83.7058986111,1929,0.0,0.0,39.219997406,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1323000,2949,10,,250.0,0.06606985472969729,0.2694975072105089,0.0,271,0.0,6.166666666666667,96.707321167,388.9166666666667,42.3011141667,-83.70626,1934,0.0,0.0,35.469997406,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1325800,2949,10,,250.0,0.09122438283644736,0.20679362234891613,0.0,271,0.0,20.428571428571427,96.707321167,391.0,42.3011069444,-83.7066383333,1940,0.0,0.0,20.25,80.1,59.0
2018-08-24,295.527055593,USW00094847,Detroit,1328900,2949,10,,250.0,0.21234735477867397,0.34858378448294186,0.0,271,0.0,2.1875,96.707321167,390.625,42.3011002778,-83.7069266667,1947,0.0,0.0,17.4599990845,80.1,59.0
